movieId,title,genres,year,imdbId,tmdbId,count,avgRating,img,g_(no genres listed),g_Action,g_Adventure,g_Animation,g_Children,g_Comedy,g_Crime,g_Documentary,g_Drama,g_Fantasy,g_Film-Noir,g_Horror,g_IMAX,g_Musical,g_Mystery,g_Romance,g_Sci-Fi,g_Thriller,g_War,g_Western,time_adjusted_rating
1,Toy Story,Adventure|Animation|Children|Comedy|Fantasy,1995.0,114709,862.0,57309.0,3.89,https://image.tmdb.org/t/p/w500/uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.779493821780688
2,Jumanji,Adventure|Children|Fantasy,1995.0,113497,8844.0,24228.0,3.25,,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.364683726918391
3,Grumpier Old Men,Comedy|Romance,1995.0,113228,15602.0,11804.0,3.14,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.7259626165531226
4,Waiting to Exhale,Comedy|Drama|Romance,1995.0,114885,31357.0,2523.0,2.85,,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.5229347314619323
5,Father of the Bride Part II,Comedy,1995.0,113041,11862.0,11714.0,3.06,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7972176364191248
6,Heat,Action|Crime|Thriller,1995.0,113277,949.0,24588.0,3.85,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1.4207121747930556
7,Sabrina,Comedy|Romance,1995.0,114319,11860.0,12132.0,3.36,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.7830697479231398
8,Tom and Huck,Adventure|Children,1995.0,112302,45325.0,1344.0,3.11,,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7037244948221565
9,Sudden Death,Action,1995.0,114576,9091.0,3711.0,2.99,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5303433139293734
10,GoldenEye,Action|Adventure|Thriller,1995.0,113189,710.0,28265.0,3.42,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0436738306326268
11,The American President,Comedy|Drama|Romance,1995.0,112346,9087.0,17042.0,3.66,,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.8838908037794599
12,Dracula: Dead and Loving It,Comedy|Horror,1995.0,112896,12110.0,3741.0,2.62,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.7854902277331371
13,Balto,Adventure|Animation|Children,1995.0,112453,21032.0,1715.0,3.33,,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.529846998730364
14,Nixon,Drama,1995.0,113987,10858.0,5509.0,3.42,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.6371204102595242
15,Cutthroat Island,Action|Adventure|Romance,1995.0,112760,1408.0,2760.0,2.72,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.7017256738493576
16,Casino,Crime|Drama,1995.0,112641,524.0,18404.0,3.82,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.6357329127948164
17,Sense and Sensibility,Drama|Romance,1995.0,114388,4584.0,19729.0,3.95,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1.0261501607756156
